id,name,symbol,slug,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,tags,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
2469,Zilliqa,ZIL,zilliqa,8279187390.71944,12599999804.24,,2018-01-25T00:00:00.000Z,83,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27'}",35,2019-03-02T01:54:04.000Z,0.0173380532305,4665606.59254319,0.0907447,1.06735,-6.34927,143544991.68557805
2682,Holo,HOT,holo,133214575156.0,177619433541.141,,2018-04-29T00:00:00.000Z,33,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6c6ee5e31d828de241282b9606c8e98ea48526e2'}",36,2019-03-02T01:54:04.000Z,0.00107655102665,8742005.33711609,1.61342,-2.75254,-22.2678,143412287.64893538
1214,Lisk,LSK,lisk,115012879.521928,130128010.0,,2016-04-06T00:00:00.000Z,59,[],,37,2019-03-02T01:54:02.000Z,1.22741490955,3048015.92722285,0.228564,0.0776385,-4.4857,141168523.11549228
1104,Augur,REP,augur,11000000.0,11000000.0,,2015-10-27T00:00:00.000Z,57,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1985365e9f78359a9b6ad760e32412f4a445e862'}",38,2019-03-02T01:54:01.000Z,12.7811997211,2464223.86496633,-0.327045,1.46849,-7.86968,140593196.9321
2416,THETA,THETA,theta,1000000000.0,1000000000.0,,2018-01-17T00:00:00.000Z,27,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3883f5e181fccaf8410fa61e12b59bad963fb645'}",39,2019-03-02T01:54:04.000Z,0.138774830602,11400696.2210859,0.0303077,-6.75545,42.646,138774830.602
2099,ICON,ICX,icon,473406687.603972,800460000.0,,2017-10-27T00:00:00.000Z,42,[],,40,2019-03-02T01:54:03.000Z,0.290372427036,25158291.0657541,-0.269314,-2.25909,15.4732,137464248.85463881
3437,ABBC Coin,ABBC,abbc-coin,396815927.545,1002157050.01,,2018-10-12T00:00:00.000Z,16,['mineable'],,41,2019-03-02T01:54:06.000Z,0.34234374334,28290374.5460064,4.82537,-15.4947,240.718,135847450.05268952
109,DigiByte,DGB,digibyte,11497348055.6511,11497348055.6511,21000000000.0,2014-02-06T00:00:00.000Z,51,['mineable'],,42,2019-03-02T01:54:01.000Z,0.0114380181039,1536057.01062949,-1.28247,3.48094,9.89239,131506875.20737673
372,Bytecoin,BCN,bytecoin-bcn,184066828814.059,184066828814.059,184470000000.0,2014-06-17T00:00:00.000Z,13,['mineable'],,43,2019-03-02T01:54:01.000Z,0.000687432452111,126479.603387255,0.946262,1.47456,-0.254053,126533511.48394424
463,BitShares,BTS,bitshares,2695430000.0,2695430000.0,3600570502.0,2014-07-21T00:00:00.000Z,73,[],,44,2019-03-02T01:54:01.000Z,0.0465678210072,3981880.51631572,-0.0088497,0.330367,0.559396,125520301.77743709
1230,Steem,STEEM,steem,311183139.074,328157233.074,,2016-04-18T00:00:00.000Z,21,[],,45,2019-03-02T01:54:01.000Z,0.391471977361,5980071.66987268,0.52159,-7.59655,16.7603,121819478.77470183
1567,Nano,NANO,nano,133248289.1965,133248289.1965,133248290.0,2017-03-06T00:00:00.000Z,45,[],,46,2019-03-02T01:54:02.000Z,0.892072874382,1747858.95924421,0.164152,2.65242,-2.62271,118867184.35000576
2603,Pundi X,NPXS,pundi-x,170357512832.988,274555193861.0,,2018-03-22T00:00:00.000Z,45,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3'}",47,2019-03-02T01:54:04.000Z,0.000677608713815,7072486.01830631,-1.56663,-5.14936,-3.04057,115435735.15948336
3330,Paxos Standard Token,PAX,paxos-standard-token,113883161.224654,113883163.65,,2018-09-27T00:00:00.000Z,79,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8e870d67f660d95d5be530380d0ec0bd388289e1'}",48,2019-03-02T01:54:06.000Z,1.01177544145,45620589.8811369,0.108925,-0.205886,-0.350326,115224185.72179583
2222,Bitcoin Diamond,BCD,bitcoin-diamond,153756875.0,156756875.0,210000000.0,2017-11-24T00:00:00.000Z,21,['mineable'],,49,2019-03-02T01:54:03.000Z,0.74297578702,1151403.02224648,0.318868,0.0920271,-3.51851,114237635.21286076
1521,Komodo,KMD,komodo,111960505.89612,111960505.89612,,2017-02-05T00:00:00.000Z,17,['mineable'],,50,2019-03-02T01:54:02.000Z,1.012125807,2796659.60923433,-1.00316,-3.25085,6.0486,113318117.38223872
1700,Aeternity,AE,aeternity,233020472.114,273685830.164,,2017-06-01T00:00:00.000Z,57,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d'}",51,2019-03-02T01:54:02.000Z,0.461117810185,57058176.9490537,0.479243,-1.25939,3.69003,107449889.82948253
1042,Siacoin,SC,siacoin,39646043060.0,39646043060.0,,2015-08-26T00:00:00.000Z,26,['mineable'],,52,2019-03-02T01:54:01.000Z,0.0024242783859,714924.502343436,0.141738,1.01342,-5.25213,96113045.27681871
693,Verge,XVG,verge,15172086051.1052,15172086051.1052,16555000000.0,2014-10-25T00:00:00.000Z,51,['mineable'],,53,2019-03-02T01:54:01.000Z,0.00612677736459,713498.225979356,0.126466,2.17418,-6.13104,92955993.391523
2405,IOST,IOST,iostoken,12013965608.8475,21000000000.0,,2018-01-16T00:00:00.000Z,56,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab'}",54,2019-03-02T01:54:04.000Z,0.00762403108833,4092194.68879487,0.268001,3.36678,-7.26531,91594847.2959808
1866,Bytom,BTM,bytom,1002499275.0,1407000000.0,,2017-08-08T00:00:00.000Z,44,['mineable'],,55,2019-03-02T01:54:02.000Z,0.088831353657,2218928.08191927,0.182069,-1.07962,-6.41905,89053367.63841109
2308,Dai,DAI,dai,88009184.6172305,88009184.6172305,,2017-12-24T00:00:00.000Z,78,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359'}",56,2019-03-02T01:54:04.000Z,1.00753182326,50918455.0317482,0.320606,-0.430975,-0.0592212,88672054.24102418
1343,Stratis,STRAT,stratis,99232074.1703063,99232074.1703063,,2016-08-12T00:00:00.000Z,19,[],,57,2019-03-02T01:54:01.000Z,0.888347326532,1304723.20970328,0.0538584,1.88529,-3.92773,88152547.79541673
2502,Huobi Token,HT,huobi-token,50000200.0,500000000.0,,2018-02-03T00:00:00.000Z,22,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",58,2019-03-02T01:54:04.000Z,1.42622355196,34525577.8221529,-0.637068,17.2721,13.95,71311462.84271039
1759,Status,SNT,status,3470483788.0,6804870174.0,,2017-06-28T00:00:00.000Z,77,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x744d70fdbe2ba4cf95131626614a1763df805b9e'}",59,2019-03-02T01:54:02.000Z,0.0203622905293,3804896.86791955,0.421442,0.389984,-7.18313,70666999.16848159
3306,Gemini Dollar,GUSD,gemini-dollar,69963201.1,69963201.1,,2018-10-05T00:00:00.000Z,65,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd'}",60,2019-03-02T01:54:07.000Z,0.999678857365,2742975.49635813,0.143485,0.207786,-0.753018,69940732.9332457
2829,REPO,REPO,repo,109958607.0,356999900.0,,2018-05-28T00:00:00.000Z,4,[],"{'id': 512, 'name': 'Stellar', 'symbol': 'XLM', 'slug': 'stellar', 'token_address': 'GCZNF24HPMYTV6NOEHI7Q5RJFFUI23JKUKY3H3XTQAFBQIBOHD5OXG3B'}",61,2019-03-02T01:54:05.000Z,0.622791490427,81266.510063826,0.183318,1.00143,-8.1365,68481284.73880675
1455,Golem,GNT,golem-network-tokens,963622000.0,1000000000.0,,2016-11-18T00:00:00.000Z,75,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa74476443119A942dE498590Fe1f2454d7D4aC0d'}",62,2019-03-02T01:54:02.000Z,0.0671927260855,1205064.73326207,0.541063,3.96594,-1.21144,64748389.09596168
1789,Populous,PPT,populous,53252245.9943896,53252246.0,53252246.0,2017-07-10T00:00:00.000Z,29,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a'}",63,2019-03-02T01:54:02.000Z,1.20314619627,1149268.82310927,-0.0310127,2.32635,-5.51473,64070237.21098419
2349,Mixin,XIN,mixin,441599.624651066,1000000.0,,2018-01-09T00:00:00.000Z,7,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa974c709cfb4566686553a20790685a47aceaa33'}",64,2019-03-02T01:54:03.000Z,142.512873139,271221.090180912,-0.0259755,-2.71013,-7.91144,62933631.28612739
1586,Ark,ARK,ark,108682774.0,139932774.0,,2017-03-22T00:00:00.000Z,19,[],,65,2019-03-02T01:54:01.000Z,0.569798102585,808987.03510833,-0.19322,-0.480346,-9.7212,61927238.40887437
2027,Cryptonex,CNX,cryptonex,55686328.9619251,107135053.921925,210000000.0,2017-10-07T00:00:00.000Z,23,['mineable'],,66,2019-03-02T01:54:03.000Z,1.11357609126,6080556.58210753,1.20685,1.13774,-2.35924,62010964.542039074
2130,Enjin Coin,ENJ,enjin-coin,762778665.064264,1000000000.0,,2017-11-01T00:00:00.000Z,24,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c'}",67,2019-03-02T01:54:03.000Z,0.0777620393157,9205609.72905935,-0.803734,-3.90823,98.3684,59315224.541904464
2137,Electroneum,ETN,electroneum,9022550293.05,9022550293.05,21000000000.0,2017-11-02T00:00:00.000Z,17,['mineable'],,68,2019-03-02T01:54:03.000Z,0.00645061336609,270638.536172097,0.0873035,-4.80899,-6.83195,58200983.51656757
291,MaidSafeCoin,MAID,maidsafecoin,452552412.0,452552412.0,,2014-04-28T00:00:00.000Z,6,[],"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '3'}",69,2019-03-02T01:54:01.000Z,0.127688367605,222257.868691755,0.0971714,-0.0413898,-0.739538,57785678.74398541
2135,Revain,R,revain,484450000.0,484450000.0,484450000.0,2017-11-01T00:00:00.000Z,16,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x48f775efbe4f5ece6e0df2f7b5932df56823b990'}",70,2019-03-02T01:54:03.000Z,0.11801697167,414112.703063174,0.0536759,1.33103,-14.632,57173321.9255315
1087,Factom,FCT,factom,9259889.65,9259889.65,,2015-10-06T00:00:00.000Z,4,[],,71,2019-03-02T01:54:01.000Z,6.15630108319,61201.613623004,-0.643547,-2.9696,-8.91592,57006668.68251487
1320,Ardor,ARDR,ardor,998999495.0,998999495.0,998999495.0,2016-07-23T00:00:00.000Z,16,[],,72,2019-03-02T01:54:01.000Z,0.0569751066949,743005.498834172,0.07028,0.588282,-2.38509,56918102.81577622
2577,Ravencoin,RVN,ravencoin,3010155000.0,3010155000.0,21000000000.0,2018-03-10T00:00:00.000Z,25,['mineable'],,73,2019-03-02T01:54:04.000Z,0.0181542685635,20516136.3592241,9.61419,30.1253,55.3869,54647162.287762344
1903,HyperCash,HC,hypercash,43529780.865052,43529780.865052,84000000.0,2017-08-20T00:00:00.000Z,21,['mineable'],,74,2019-03-02T01:54:03.000Z,1.15704759644,710493.979650695,-0.378471,0.403,-1.55442,50366028.32346832
1934,Loopring,LRC,loopring,828954239.778787,1374955751.72106,,2017-08-30T00:00:00.000Z,34,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xef68e7c694f40c8202821edf525de3782458639f'}",75,2019-03-02T01:54:03.000Z,0.0576926323558,1237127.81634713,-0.0900341,1.54861,2.26377,47824552.19533924
1925,Waltonchain,WTC,waltonchain,40999959.4106683,70000000.0,100000000.0,2017-08-27T00:00:00.000Z,27,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74'}",76,2019-03-02T01:54:03.000Z,1.11217120524,2565138.44389614,-0.686056,-0.782544,3.32881,45598974.27255404
2874,Aurora,AOA,aurora,6542330148.20859,10000000000.0,,2018-06-26T00:00:00.000Z,10,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9ab165d795019b6d8b3e971dda91071421305e5a'}",77,2019-03-02T01:54:05.000Z,0.00710901350541,1649947.95806107,-3.88013,-0.93889,-7.90347,46509513.38046587
3116,Insight Chain,INB,insight-chain,166552689.081999,10000000000.0,,2018-08-08T00:00:00.000Z,2,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x17aa18a4b64a55abed7fa543f2ba4e91f2dce482'}",78,2019-03-02T01:54:05.000Z,0.271154453006,2036402.16235588,-0.736999,-0.967557,0.541762,45161503.304707825
2694,Nexo,NEXO,nexo,560000011.0,1000000000.0,,2018-05-01T00:00:00.000Z,13,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206'}",79,2019-03-02T01:54:04.000Z,0.080754829943,4117682.23567017,0.343454,1.93364,8.76424,45222705.65638313
1966,Decentraland,MANA,decentraland,1050141509.426,2644403343.1583,,2017-09-17T00:00:00.000Z,54,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0f5d2fb29fb7d3cfee444a200298f468908cc942'}",80,2019-03-02T01:54:02.000Z,0.0426569160099,5481957.45357426,-0.318727,-2.30913,10.9445,44795798.16609449
2900,Project Pai,PAI,project-pai,1412707359.0,1579200000.0,,2018-07-05T00:00:00.000Z,15,[],,81,2019-03-02T01:54:05.000Z,0.0316262993832,3836947.56591362,-0.0584882,0.185669,1.21766,44678705.87658381
2299,aelf,ELF,aelf,280000000.0,300000000.0,1000000000.0,2017-12-21T00:00:00.000Z,54,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbf2179859fc6d5bee9bf9158632dc51678a4100e'}",82,2019-03-02T01:54:03.000Z,0.158495288398,6176791.21018727,-0.87885,1.09026,14.7575,44378680.75144
1169,PIVX,PIVX,pivx,56781165.992094,56781165.992094,,2016-02-13T00:00:00.000Z,21,[],,83,2019-03-02T01:54:02.000Z,0.757463107908,187561.969540423,-0.592194,2.21632,-3.49534,43009638.463011555
2631,ODEM,ODE,odem,222771135.832452,268946131.0,,2018-04-10T00:00:00.000Z,8,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbf52f2ab39e26e0951d2a02b49b7702abe30406a'}",84,2019-03-02T01:54:04.000Z,0.192917648215,672789.054401422,0.198949,-6.65564,-0.833055,42976483.61498095
2087,KuCoin Shares,KCS,kucoin-shares,89939916.0,179939916.0,,2017-10-24T00:00:00.000Z,9,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x039b5649a59967e3e936d7471f9c3700100ee1ab'}",85,2019-03-02T01:54:03.000Z,0.473413559944,737296.178059968,-0.00681456,5.45111,1.2308,42578775.814624324
3155,Quant,QNT,quant,9777235.84,14612493.0808262,,2018-08-10T00:00:00.000Z,7,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4a220e6096b25eadb88358cb44068a3248254675'}",86,2019-03-02T01:54:05.000Z,4.27029447491,3445070.03170691,2.5319,8.67502,2.52043,41751676.18744403
1776,Crypto.com,MCO,crypto-com,15793831.0949625,31587682.3632061,,2017-07-03T00:00:00.000Z,38,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb63b606ac810a52cca15e44bb630fd42d8d1d83d'}",87,2019-03-02T01:54:02.000Z,2.63496525335,920543.081707361,0.152572,-0.245094,-12.3486,41616196.15250497
3635,Crypto.com Chain,CRO,crypto-com-chain,3239726027.39726,100000000000.0,,2018-12-14T00:00:00.000Z,5,[],"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",88,2019-03-02T01:54:08.000Z,0.0125646416206,587197.530208313,0.258284,-0.246385,-3.93464,40705996.48317671
1750,GXChain,GXC,gxchain,60000000.0,99598714.66582,100000000.0,2017-06-25T00:00:00.000Z,13,[],,89,2019-03-02T01:54:02.000Z,0.670171154052,7909713.5892773,0.196621,2.07876,5.03431,40210269.24312
