,state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
630,NY,Genesee County,26873,10762,15705,406,40.66,east
631,MI,Ionia County,27319,12565,14156,598,47.02,east
632,MI,Clinton County,40381,20005,19726,650,50.35,east
633,ID,Power County,2842,1027,1754,61,36.93,west
634,NY,Erie County,441985,256299,178815,6871,58.9,east
635,SD,Union County,7701,3244,4310,147,42.94,west
636,SD,Clay County,6242,3808,2296,138,62.39,west
637,IA,Fayette County,10259,5908,4205,146,58.42,west
638,IA,Clayton County,8989,5195,3651,143,58.72,west
639,NY,Montgomery County,20175,9080,10711,384,45.88,east
640,NY,Ontario County,51020,25103,25171,746,49.93,east
641,ID,Bannock County,35105,14792,19356,957,43.32,west
642,ID,Caribou County,3302,553,2656,93,17.23,west
643,NY,Seneca County,14741,7422,7038,281,51.33,east
644,NE,Sioux County,732,117,603,12,16.25,west
645,NE,Sheridan County,2462,454,1941,67,18.96,west
646,NE,Dawes County,3775,1285,2376,114,35.1,west
647,NE,Boyd County,1110,250,839,21,22.95,west
648,NE,Keya Paha County,533,115,409,9,21.95,west
649,NE,Cherry County,3059,599,2360,100,20.24,west
650,OR,Jackson County,101047,49090,49043,2914,50.03,west
651,NY,Livingston County,30149,13655,16030,464,46.0,east
652,NY,Rensselaer County,73986,39753,32840,1393,54.76,east
653,NY,Schenectady County,69842,38611,29758,1473,56.47,east
654,OR,Curry County,12332,5230,6646,456,44.04,west
655,ID,Twin Falls County,28344,8621,19032,691,31.18,west
656,IA,Plymouth County,12512,4629,7765,118,37.35,west
657,IA,Buena Vista County,8418,4075,4223,120,49.11,west
658,IA,Cherokee County,6365,2890,3372,103,46.15,west
659,IA,Pocahontas County,4011,1800,2138,73,45.71,west
660,IA,Wright County,6395,3102,3198,95,49.24,west
661,IA,Humboldt County,5122,2160,2895,67,42.73,west
662,IA,Franklin County,5148,2575,2501,72,50.73,west
663,IA,Butler County,7166,3364,3700,102,47.62,west
664,IA,Bremer County,12871,6940,5741,190,54.73,west
665,NY,Otsego County,26121,13570,12026,525,53.02,east
666,NE,Holt County,4974,1089,3746,139,22.52,west
667,MI,Macomb County,419216,223784,187663,7769,54.39,east
668,MI,Oakland County,659068,372566,276956,9546,57.36,east
669,MA,Essex County,353462,208976,137129,7357,60.38,east
670,NE,Knox County,4084,1255,2728,101,31.51,west
671,NE,Cedar County,4174,1190,2912,72,29.01,west
672,NY,Wyoming County,17667,6379,10998,290,36.71,east
673,WI,Green County,18534,11502,6730,302,63.09,east
674,ID,Jerome County,6847,1794,4897,156,26.81,west
675,WI,Rock County,79169,50529,27364,1276,64.87,east
676,NE,Brown County,1567,311,1208,48,20.48,west
677,WI,Walworth County,50422,24177,25485,760,48.69,east
678,WI,Racine County,100642,53408,45954,1280,53.75,east
